24046503651560,24046504003860
3193391182520,3193391434244
3193485128872,3193485380044
3193486754116,3193486934592
3193488428936,3193488616372
3193489941856,3193490119916
3193491457064,3193491630308
3193492935980,3193493113740
3193494422964,3193494603840
3193495903276,3193496139608
3193497458876,3193497636800
3193498954236,3193499133760
3193500896860,3193501104308
3193502589572,3193502785552
3193504141656,3193504323612
3193505709272,3193505892292
3193507199424,3193507379440
3193508780900,3193508960580
3193510286828,3193510464964
3193511766852,3193511947320
3193513262936,3193513441480
3193514736468,3193514914144
3193516331840,3193516510696
3193517804016,3193517982276
3193519296896,3193519472144
3193520771608,3193520941272
3193522281256,3193522473564
3193523817392,3193524002672
3193525559692,3193525741764
3193527071028,3193527249900
3193528562912,3193528741204
3193530058736,3193530246136
3193531552616,3193531729712
3193533133416,3193533314904
3193534736944,3193534918500
3193536216308,3193536393668
3193540497132,3193540761852
3193542428368,3193542628792
3193544187636,3193544370248
3193545683112,3193545862708
3193547181500,3193547361832
3193548663392,3193548846132
3193550141364,3193550315508
3193551728128,3193551985328
3193553313536,3193553578380
3193554888384,3193555064348
3193556471164,3193556657312
3193558150748,3193558333852
3193559646752,3193559825232
3193567978964,3193568178412
3193569555756,3193569741680
3193571040424,3193571213500
3193572520520,3193572811148
3193574121636,3193574301416
3193575600932,3193575781296
3193577089792,3193577265492
3193578550168,3193578726692
3193580066716,3193580244608
3193581721700,3193581905900
3193583373840,3193583557624
3193584871044,3193585045292
3193586339940,3193586522296
3193587834780,3193588007392
3193589311812,3193589492808
3193590821036,3193591000540
3193592401896,3193592583268
3193593897728,3193594078508
3193595383188,3193595560476
3193596863636,3193597037960
3193598333508,3193598507360
3193599822136,3193600007200
3193601414092,3193601595800
3193602914712,3193603093420
3193604413712,3193604590860
3193605959968,3193606135360
3193607427188,3193607602900
3193608907344,3193609073632
3193610383232,3193610567096
3193612005000,3193612185660
3193613492436,3193613673644
3193614980120,3193615155960
3193616465396,3193616643676
3193617959056,3193618138840
3193619438028,3193619616900
3193621057172,3193621235992
3193622530680,3193622708128
3193624028676,3193624207572
3193625505872,3193625679260
3193626998136,3193627180184
3193628483612,3193628664840
3193630178572,3193630370328
3193631683652,3193631862956
3193633174492,3193633358304
3193634667344,3193634845352
3193636154476,3193636335252
3193637630588,3193637806104
3193639136060,3193639315900
3193640737648,3193640915504
3193642261212,3193642442552
3193643732944,3193643911784
3193645235672,3193645414108
3193646716928,3193646891428
3193648215188,3193648393284
3193649811440,3193649988916
3193651310932,3193651494596
3193652800760,3193652983468
3193654408772,3193654594372
3193655924196,3193656107880
3193657419848,3193657596912
3193658989532,3193659169304
3193660478228,3193660652564
3193661971536,3193662150988
3193663472280,3193663653328
3193664980052,3193665161580
3193666482308,3193666664572
3193667965712,3193668145776
3193669542004,3193669720452
