33554432,262144,128,90337539424 

67108864,262144,256,209372903664 

100663296,262144,384,297493729364 

134217728,262144,512,358982607260 

268435456,262144,1024,647156041108 

402653184,262144,1536,909567589724 

536870912,262144,2048,1248493293384 

671088640,262144,2560,1561628743940 

805306368,262144,3072,2052550952548 

939524096,262144,3584,2666965445924 

1073741824,262144,4096,3067603486200 

1610612736,262144,6144,4359588230696 

2147483648,262144,8192,5831517385000 

2684354560,262144,10240,6834126818012 

3221225472,262144,12288,7859459884940 

3758096384,262144,14336,9076805549836 

4294967296,262144,16384,10112992083936 

