root@bdaemon:/home/amit/acads/cse221/OS_Benchmark/src# ping -c 100 -s 1024 128.54.246.71
PING 128.54.246.71 (128.54.246.71) 1024(1052) bytes of data.
1032 bytes from 128.54.246.71: icmp_seq=80 ttl=63 time=17.1 ms
1032 bytes from 128.54.246.71: icmp_seq=81 ttl=63 time=3.17 ms
1032 bytes from 128.54.246.71: icmp_seq=82 ttl=63 time=3.29 ms
1032 bytes from 128.54.246.71: icmp_seq=84 ttl=63 time=4.53 ms
1032 bytes from 128.54.246.71: icmp_seq=85 ttl=63 time=122 ms
1032 bytes from 128.54.246.71: icmp_seq=86 ttl=63 time=50.5 ms
1032 bytes from 128.54.246.71: icmp_seq=87 ttl=63 time=3.48 ms
1032 bytes from 128.54.246.71: icmp_seq=88 ttl=63 time=15.5 ms
1032 bytes from 128.54.246.71: icmp_seq=89 ttl=63 time=5.43 ms
1032 bytes from 128.54.246.71: icmp_seq=90 ttl=63 time=4.56 ms
1032 bytes from 128.54.246.71: icmp_seq=91 ttl=63 time=5.61 ms
1032 bytes from 128.54.246.71: icmp_seq=92 ttl=63 time=3.58 ms
1032 bytes from 128.54.246.71: icmp_seq=93 ttl=63 time=6.10 ms
1032 bytes from 128.54.246.71: icmp_seq=94 ttl=63 time=4.24 ms
1032 bytes from 128.54.246.71: icmp_seq=95 ttl=63 time=12.5 ms
1032 bytes from 128.54.246.71: icmp_seq=96 ttl=63 time=3.30 ms
1032 bytes from 128.54.246.71: icmp_seq=97 ttl=63 time=8.67 ms
1032 bytes from 128.54.246.71: icmp_seq=98 ttl=63 time=25.5 ms
1032 bytes from 128.54.246.71: icmp_seq=99 ttl=63 time=7.44 ms
1032 bytes from 128.54.246.71: icmp_seq=100 ttl=63 time=27.4 ms

--- 128.54.246.71 ping statistics ---
100 packets transmitted, 97 received, 3% packet loss, time 99176ms
rtt min/avg/max/mdev = 2.555/11.516/232.441/26.319 ms
root@bdaemon:/home/amit/acads/cse221/OS_Benchmark/src#
